cnn,monthly_frequency,frequency_group
612000,4,4
613000,4,4
614000,4,4
615000,4,4
617000,4,4
618101,2,2
618102,2,2
618103,2,2
618201,2,2
618202,2,2
619000,4,4
620000,4,4
621000,4,4
622000,4,4
623000,4,4
624000,4,4
625000,4,4
626000,4,4
627000,4,4
628000,4,4
629000,4,4
630000,4,4
631000,20,17-20
632000,20,17-20
633000,4,4
634000,8,7-8
635000,8,7-8
636000,8,7-8
637000,8,7-8
638000,8,7-8
639000,8,7-8
640000,4,4
641000,8,7-8
643000,4,4
644000,8,7-8
645000,8,7-8
646000,8,7-8
647000,19,17-20
648000,19,17-20
649000,19,17-20
650000,19,17-20
651000,19,17-20
652000,19,17-20
653000,19,17-20
654000,19,17-20
655000,16,13-16
656000,16,13-16
657000,8,7-8
658000,8,7-8
659000,8,7-8
660000,8,7-8
661000,8,7-8
662000,8,7-8
663000,4,4
664000,8,7-8
665000,8,7-8
669000,2,2
670000,4,4
671000,4,4
672000,4,4
673000,4,4
674000,4,4
675000,4,4
676000,4,4
677000,4,4
678000,4,4
679000,4,4
681000,2,2
682000,4,4
683000,4,4
684000,4,4
685000,4,4
686000,4,4
687000,4,4
688000,4,4
689000,4,4
690000,4,4
691000,4,4
692000,4,4
693000,4,4
694000,4,4
695000,4,4
696000,20,17-20
697000,20,17-20
698000,20,17-20
699001,20,17-20
701000,20,17-20
702000,20,17-20
703000,20,17-20
704000,20,17-20
705000,20,17-20
706000,20,17-20
707000,20,17-20
708000,20,17-20
709000,20,17-20
710000,20,17-20
711000,20,17-20
712000,20,17-20
713000,20,17-20
714000,20,17-20
715000,28,21-28
716000,28,21-28
717000,28,21-28
718000,28,21-28
719000,28,21-28
720000,28,21-28
721000,28,21-28
722000,28,21-28
723000,36,29-36
724000,36,29-36
725000,36,29-36
726000,32,29-36
727000,32,29-36
728000,32,29-36
729000,32,29-36
730000,32,29-36
731000,32,29-36
732000,28,21-28
733000,28,21-28
734000,28,21-28
735000,8,7-8
736000,8,7-8
737000,8,7-8
738000,8,7-8
739000,8,7-8
740000,8,7-8
741000,8,7-8
742000,8,7-8
743000,8,7-8
745000,8,7-8
746000,8,7-8
749000,2,2
750000,4,4
751000,4,4
752000,4,4
753000,4,4
754000,4,4
755000,4,4
756000,4,4
757000,4,4
758000,4,4
759000,4,4
760000,4,4
761000,4,4
762000,4,4
763000,4,4
764000,4,4
765000,4,4
766000,4,4
767000,4,4
768000,4,4
769000,4,4
770000,4,4
771000,4,4
773000,8,7-8
774000,8,7-8
775000,8,7-8
776000,8,7-8
777000,8,7-8
778000,8,7-8
779000,8,7-8
781000,8,7-8
782000,8,7-8
783000,8,7-8
784000,8,7-8
785000,8,7-8
786000,8,7-8
787000,8,7-8
788000,8,7-8
789000,8,7-8
790000,8,7-8
791000,8,7-8
792000,8,7-8
793000,19,17-20
794000,19,17-20
795000,19,17-20
796000,19,17-20
797000,19,17-20
798000,19,17-20
799000,8,7-8
800000,8,7-8
801000,8,7-8
802000,8,7-8
803000,8,7-8
804000,8,7-8
805000,8,7-8
806000,8,7-8
807000,8,7-8
808000,8,7-8
809000,8,7-8
810000,12,9-12
811000,8,7-8
812000,8,7-8
813000,8,7-8
814000,8,7-8
815000,8,7-8
816000,8,7-8
817000,8,7-8
818000,8,7-8
819000,8,7-8
820000,8,7-8
821000,8,7-8
822000,2,2
823000,2,2
824000,2,2
825000,2,2
826000,2,2
827000,4,4
828000,4,4
829000,4,4
830000,4,4
831000,4,4
832000,4,4
833000,4,4
834000,4,4
835000,4,4
836000,4,4
837000,4,4
838000,4,4
839000,4,4
840000,4,4
841000,4,4
842000,4,4
843000,4,4
844000,4,4
845000,6,6
846000,4,4
847000,4,4
848000,4,4
849000,8,7-8
850000,8,7-8
851000,8,7-8
852000,8,7-8
852001,8,7-8
852002,8,7-8
853000,8,7-8
854000,8,7-8
855000,8,7-8
856000,8,7-8
857000,8,7-8
858000,8,7-8
859000,8,7-8
860000,8,7-8
861000,8,7-8
862000,8,7-8
863000,8,7-8
865000,8,7-8
866000,8,7-8
867000,8,7-8
868000,8,7-8
869000,8,7-8
870000,8,7-8
871000,8,7-8
872000,8,7-8
873000,8,7-8
874000,19,17-20
875000,19,17-20
876000,19,17-20
877000,19,17-20
878000,19,17-20
879000,19,17-20
880000,19,17-20
881000,15,13-16
882000,15,13-16
883000,15,13-16
884000,15,13-16
885000,19,17-20
886000,19,17-20
887000,12,9-12
888000,8,7-8
889000,8,7-8
890000,20,17-20
891000,20,17-20
892000,20,17-20
893000,20,17-20
894000,8,7-8
895000,8,7-8
896000,8,7-8
897000,8,7-8
898000,8,7-8
899000,8,7-8
900000,8,7-8
901000,2,2
902000,4,4
903000,4,4
904000,4,4
905000,4,4
906000,4,4
907000,4,4
908000,4,4
909101,3,3
909201,3,3
910101,3,3
910201,3,3
911101,3,3
911201,3,3
912101,3,3
912201,3,3
913101,3,3
913201,3,3
914101,3,3
914201,3,3
915101,3,3
915201,3,3
916101,3,3
916201,3,3
917101,3,3
917201,3,3
918101,3,3
918201,3,3
919101,3,3
919201,3,3
920101,3,3
920201,3,3
921101,3,3
921201,3,3
922101,3,3
922201,3,3
923101,3,3
923201,3,3
924102,3,3
924103,3,3
924201,3,3
925101,3,3
925201,3,3
926101,3,3
926201,3,3
927101,3,3
927102,3,3
927201,3,3
927202,3,3
928101,3,3
928102,3,3
928103,3,3
928201,3,3
928202,3,3
929101,3,3
929201,3,3
930101,3,3
930102,3,3
930201,3,3
930202,3,3
931000,8,7-8
932000,8,7-8
933000,8,7-8
934000,8,7-8
935000,4,4
936000,8,7-8
937000,8,7-8
938000,8,7-8
939000,8,7-8
944000,8,7-8
945000,8,7-8
946000,8,7-8
947000,8,7-8
948000,8,7-8
949000,8,7-8
950000,8,7-8
951000,8,7-8
953000,8,7-8
954000,8,7-8
955000,8,7-8
956000,8,7-8
