cnn,corridor,limits,monthly_frequency,frequency_group,days_cleaned,time_ranges,schedule_summary,block_sides,street_sides,heatmap_cells,holidays
12058000,Spruce St,Jackson St  -  Washington St,38,31-40,"Mon, Wed","8 AM - 10 AM, 9 AM - 11 AM","Mon 9 AM - 11 AM, Wed 8 AM - 10 AM","East, West","L, R","Mon|8-10, Wed|8-10",0
12059000,Spruce St,Washington St  -  Clay St,38,31-40,"Mon, Wed","8 AM - 10 AM, 9 AM - 11 AM","Mon 9 AM - 11 AM, Wed 8 AM - 10 AM","East, West","L, R","Mon|8-10, Wed|8-10",0
12060000,Spruce St,Clay St  -  Sacramento St,38,31-40,"Mon, Wed","8 AM - 10 AM, 9 AM - 11 AM","Mon 9 AM - 11 AM, Wed 8 AM - 10 AM","East, West","L, R","Mon|8-10, Wed|8-10",0
12061000,Spruce St,Sacramento St  -  California St,42,41-50,"Fri, Wed",6 AM - 8 AM,"Fri 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Fri|6-8, Wed|6-8",0
12062000,Spruce St,California St  -  Mayfair Dr,28,21-30,"Mon, Wed",6 AM - 8 AM,"Mon 6 AM - 8 AM, Wed 6 AM - 8 AM","East, West","L, R","Mon|6-8, Wed|6-8",0
12063000,Spruce St,Mayfair Dr  -  Euclid Ave,36,31-40,"Mon, Wed",8 AM - 10 AM,"Mon 8 AM - 10 AM, Wed 8 AM - 10 AM","East, West","L, R","Mon|8-10, Wed|8-10",0
12064000,Spruce St,Euclid Ave  -  Geary Blvd,36,31-40,"Mon, Wed",8 AM - 10 AM,"Mon 8 AM - 10 AM, Wed 8 AM - 10 AM","East, West","L, R","Mon|8-10, Wed|8-10",0
12065000,Spruce St,Geary Blvd  -  Anza St,36,31-40,"Fri, Wed",8 AM - 10 AM,"Fri 8 AM - 10 AM, Wed 8 AM - 10 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12068000,Stanford St,Brannan St  -  Townsend St,4,1-10,Fri,12 AM - 2 AM,Fri 12 AM - 2 AM,"NorthEast, SouthWest","L, R",Fri|12-2,0
1207000,22nd St,Diamond St  -  Eureka St,52,51-60,"Mon, Wed",12 PM - 2 PM,"Mon 12 PM - 2 PM, Wed 12 PM - 2 PM","North, South","L, R","Mon|12-14, Wed|12-14",0
12072000,Stanley St,Orizaba Ave  -  Bright St,46,41-50,"Mon, Thu","12 PM - 2 PM, 9 AM - 11 AM","Mon 9 AM - 11 AM, Thu 12 PM - 2 PM","North, South","L, R","Mon|8-10, Thu|12-14",0
12076000,Stanyan Blvd,Geary Blvd  -  Anza St,38,31-40,"Fri, Wed","8 AM - 10 AM, 9 AM - 11 AM","Fri 8 AM - 10 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12077000,Stanyan Blvd,Anza St  -  Lone Mountain Ter,38,31-40,"Fri, Wed","8 AM - 10 AM, 9 AM - 11 AM","Fri 8 AM - 10 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12078000,Stanyan Blvd,Lone Mountain Ter  -  Turk Blvd,38,31-40,"Fri, Wed","8 AM - 10 AM, 9 AM - 11 AM","Fri 8 AM - 10 AM, Wed 9 AM - 11 AM","East, West","L, R","Fri|8-10, Wed|8-10",0
12079000,Stanyan St,Turk Blvd  -  Golden Gate Ave,32,31-40,"Fri, Thu","6 AM - 8 AM, 8 AM - 10 AM","Fri 8 AM - 10 AM, Thu 6 AM - 8 AM","East, West","L, R","Fri|8-10, Thu|6-8",0
1208000,22nd St,Eureka St  -  Douglass St,52,51-60,"Mon, Wed",12 PM - 2 PM,"Mon 12 PM - 2 PM, Wed 12 PM - 2 PM","North, South","L, R","Mon|12-14, Wed|12-14",0
